"Points:0","Points:1","Points:2","alpha.water"
2,0.29628,0.005,0.25
2,0.29566,0.005,0.25
2,0.29525,0.005,0.25
2,0.29489,0.005,0.25
2,0.29457,0.005,0.25
2,0.29438,0.005,0.25
2,0.29422,0.005,0.25
2,0.29408,0.005,0.25
2,0.29395,0.005,0.25
2,0.29386,0.005,0.25
2,0.29381,0.005,0.25
2,0.29381,0.005,0.25
2,0.29387,0.005,0.25
2,0.29397,0.005,0.25
2,0.29411,0.005,0.25
2,0.29426,0.005,0.25
2,0.29442,0.005,0.25
2,0.29467,0.005,0.25
2,0.29502,0.005,0.25
2,0.29541,0.005,0.25
2,0.29585,0.005,0.25
2,0.29655,0.005,0.25
2,0.297,0.005,0.25
2,0.29742,0.005,0.25
2,0.29799,0.005,0.25
2,0.29859,0.005,0.25
2,0.29945,0.005,0.25
2,0.29995,0.005,0.25
2,0.30054,0.005,0.25
2,0.30119,0.005,0.25
2,0.30207,0.005,0.25
2,0.30261,0.005,0.25
2,0.30314,0.005,0.25
2,0.30375,0.005,0.25
2,0.30449,0.005,0.25
2,0.30513,0.005,0.25
2,0.30551,0.005,0.25
2,0.30594,0.005,0.25
2,0.30637,0.005,0.25
2,0.30675,0.005,0.25
2,0.30722,0.005,0.25
2,0.30758,0.005,0.25
2,0.3078,0.005,0.25
2,0.30793,0.005,0.25
2,0.308,0.005,0.25
2,0.30802,0.005,0.25
2,0.30799,0.005,0.25
2,0.30791,0.005,0.25
2,0.30777,0.005,0.25
2,0.30753,0.005,0.25
2,0.30712,0.005,0.25
2,0.30669,0.005,0.25
2,0.30631,0.005,0.25
2,0.30589,0.005,0.25
2,0.30549,0.005,0.25
2,0.30514,0.005,0.25
2,0.30456,0.005,0.25
2,0.30383,0.005,0.25
2,0.30325,0.005,0.25
2,0.30272,0.005,0.25
2,0.30227,0.005,0.25
2,0.30144,0.005,0.25
2,0.30079,0.005,0.25
2,0.30018,0.005,0.25
2,0.29974,0.005,0.25
2,0.29915,0.005,0.25
2,0.29836,0.005,0.25
2,0.29779,0.005,0.25
2,0.29729,0.005,0.25
2,0.29693,0.005,0.25
2,0.29645,0.005,0.25
2,0.29579,0.005,0.25
2,0.29537,0.005,0.25
2,0.29498,0.005,0.25
2,0.29465,0.005,0.25
2,0.29442,0.005,0.25
2,0.29426,0.005,0.25
2,0.29412,0.005,0.25
2,0.29399,0.005,0.25
2,0.29389,0.005,0.25
2,0.29383,0.005,0.25
2,0.29383,0.005,0.25
2,0.29388,0.005,0.25
2,0.29398,0.005,0.25
2,0.29411,0.005,0.25
2,0.29427,0.005,0.25
2,0.29442,0.005,0.25
2,0.29467,0.005,0.25
2,0.29501,0.005,0.25
2,0.2954,0.005,0.25
2,0.29583,0.005,0.25
2,0.29653,0.005,0.25
2,0.29699,0.005,0.25
2,0.29739,0.005,0.25
2,0.29795,0.005,0.25
2,0.29854,0.005,0.25
2,0.29939,0.005,0.25
2,0.2999,0.005,0.25
2,0.30045,0.005,0.25
2,0.3011,0.005,0.25
2,0.30194,0.005,0.25
2,0.30253,0.005,0.25
2,0.30301,0.005,0.25
